Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Pirates of the Caribbean: At World's End,"$960,996,492","$309,420,425",32.2%,"$651,576,067",67.8%
2,Harry Potter and the Order of the Phoenix,"$941,676,843","$292,004,738",31%,"$649,672,105",69%
3,Spider-Man 3,"$894,983,373","$336,530,303",37.6%,"$558,453,070",62.4%
4,Shrek the Third,"$813,367,380","$322,719,944",39.7%,"$490,647,436",60.3%
5,Transformers,"$709,709,780","$319,246,193",45%,"$390,463,587",55%
6,Ratatouille,"$623,726,085","$206,445,654",33.1%,"$417,280,431",66.9%
7,I Am Legend,"$585,410,052","$256,393,010",43.8%,"$329,017,042",56.2%
8,The Simpsons Movie,"$536,414,270","$183,135,014",34.1%,"$353,279,256",65.9%
9,National Treasure: Book of Secrets,"$459,242,249","$219,964,115",47.9%,"$239,278,134",52.1%
10,300,"$456,068,181","$210,614,939",46.2%,"$245,453,242",53.8%
11,The Bourne Ultimatum,"$444,100,035","$227,471,070",51.2%,"$216,628,965",48.8%
12,Live Free or Die Hard,"$388,156,011","$134,529,403",34.7%,"$253,626,608",65.3%
13,The Golden Compass,"$372,234,864","$70,107,728",18.8%,"$302,127,136",81.2%
14,Alvin and the Chipmunks,"$365,352,546","$217,326,974",59.5%,"$148,025,572",40.5%
15,Enchanted,"$340,487,652","$127,807,262",37.5%,"$212,680,390",62.5%
16,Ocean's Thirteen,"$311,312,624","$117,154,724",37.6%,"$194,157,900",62.4%
17,Fantastic 4: Rise of the Silver Surfer,"$301,913,131","$131,921,738",43.7%,"$169,991,393",56.3%
18,Bee Movie,"$293,514,336","$126,631,277",43.1%,"$166,883,059",56.9%
19,American Gangster,"$269,755,430","$130,164,645",48.3%,"$139,590,785",51.7%
20,Rush Hour 3,"$258,097,122","$140,125,968",54.3%,"$117,971,154",45.7%
21,Wild Hogs,"$253,625,427","$168,273,550",66.3%,"$85,351,877",33.7%
22,Juno,"$232,372,681","$143,495,265",61.8%,"$88,877,416",38.2%
23,Mr. Bean's Holiday,"$232,225,908","$33,302,167",14.3%,"$198,923,741",85.7%
24,Ghost Rider,"$228,738,393","$115,802,596",50.6%,"$112,935,797",49.4%
25,Knocked Up,"$219,922,417","$148,768,917",67.6%,"$71,153,500",32.4%
26,Hairspray,"$203,552,922","$118,871,849",58.4%,"$84,681,073",41.6%
27,Beowulf,"$196,393,745","$82,280,579",41.9%,"$114,113,166",58.1%
28,I Now Pronounce You Chuck & Larry,"$187,134,117","$120,059,556",64.2%,"$67,074,561",35.8%
29,Knowing,"$183,658,498","$79,957,634",43.5%,"$103,700,864",56.5%
30,The Bucket List,"$175,372,502","$93,466,502",53.3%,"$81,906,000",46.7%
31,Evan Almighty,"$174,440,724","$100,462,298",57.6%,"$73,978,426",42.4%
32,No Country for Old Men,"$171,627,166","$74,283,625",43.3%,"$97,343,541",56.7%
33,Superbad,"$170,812,526","$121,463,226",71.1%,"$49,349,300",28.9%
34,Meet the Robinsons,"$169,333,034","$97,822,171",57.8%,"$71,510,863",42.2%
35,Norbit,"$159,814,490","$95,673,607",59.9%,"$64,140,883",40.1%
36,P.S. I Love You,"$156,835,339","$53,695,808",34.2%,"$103,139,531",65.8%
37,Sweeney Todd: The Demon Barber of Fleet Street,"$153,383,627","$52,898,073",34.5%,"$100,485,554",65.5%
38,Surf's Up,"$152,005,713","$58,867,694",38.7%,"$93,138,019",61.3%
39,The Game Plan,"$147,880,543","$90,648,202",61.3%,"$57,232,341",38.7%
40,Resident Evil: Extinction,"$147,717,833","$50,648,679",34.3%,"$97,069,154",65.7%
41,Music and Lyrics,"$145,896,422","$50,572,589",34.7%,"$95,323,833",65.3%
42,Blades of Glory,"$145,710,347","$118,594,548",81.4%,"$27,115,799",18.6%
43,Saw IV,"$139,352,633","$63,300,095",45.4%,"$76,052,538",54.6%
44,Bridge to Terabithia,"$137,587,063","$82,272,442",59.8%,"$55,314,621",40.2%
45,Stardust,"$137,515,140","$38,634,938",28.1%,"$98,880,202",71.9%
46,1408,"$132,963,417","$71,985,628",54.1%,"$60,977,789",45.9%
47,Atonement,"$131,016,624","$50,927,067",38.9%,"$80,089,557",61.1%
48,Aliens vs. Predator: Requiem,"$130,290,885","$41,797,066",32.1%,"$88,493,819",67.9%
49,The Heartbreak Kid,"$128,453,183","$36,787,257",28.6%,"$91,665,926",71.4%
50,Charlie Wilson's War,"$119,483,446","$66,661,095",55.8%,"$52,822,351",44.2%
51,Disturbia,"$118,114,220","$80,209,692",67.9%,"$37,904,528",32.1%
52,Earth,"$108,975,160","$32,011,576",29.4%,"$76,963,584",70.6%
53,The Water Horse,"$103,967,384","$40,946,255",39.4%,"$63,021,129",60.6%
54,Hitman,"$101,276,318","$39,687,694",39.2%,"$61,588,624",60.8%
55,Fred Claus,"$97,838,349","$72,006,777",73.6%,"$25,831,572",26.4%
56,TMNT,"$95,802,916","$54,149,098",56.5%,"$41,653,818",43.5%
57,Shooter,"$95,696,996","$47,003,582",49.1%,"$48,693,414",50.9%
58,Michael Clayton,"$92,991,835","$49,033,882",52.7%,"$43,957,953",47.3%
59,No Reservations,"$92,601,050","$43,107,979",46.6%,"$49,493,071",53.4%
60,Fracture,"$92,011,561","$39,015,018",42.4%,"$52,996,543",57.6%
61,Epic Movie,"$87,238,158","$39,739,367",45.6%,"$47,498,791",54.4%
62,The Kingdom,"$87,019,158","$47,536,778",54.6%,"$39,482,380",45.4%
63,La Vie En Rose,"$86,274,793","$10,301,706",11.9%,"$75,973,087",88.1%
64,Zodiac,"$84,785,914","$33,080,084",39%,"$51,705,830",61%
65,Premonition,"$84,146,832","$47,852,604",56.9%,"$36,294,228",43.1%
66,Hannibal Rising,"$82,169,884","$27,670,986",33.7%,"$54,498,898",66.3%
67,Hot Fuzz,"$80,743,363","$23,637,265",29.3%,"$57,106,098",70.7%
68,Halloween,"$80,460,948","$58,272,029",72.4%,"$22,188,919",27.6%
69,The Orphanage,"$78,638,987","$7,161,284",9.1%,"$71,477,703",90.9%
70,The Number 23,"$77,677,553","$35,193,167",45.3%,"$42,484,386",54.7%
71,Next,"$77,621,983","$18,211,013",23.5%,"$59,410,970",76.5%
72,There Will Be Blood,"$76,181,545","$40,222,514",52.8%,"$35,959,031",47.2%
73,Elizabeth: The Golden Age,"$75,782,758","$16,383,509",21.6%,"$59,399,249",78.4%
74,30 Days of Night,"$75,513,170","$39,569,000",52.4%,"$35,944,170",47.6%
75,Stomp the Yard,"$75,511,123","$61,356,221",81.3%,"$14,154,902",18.7%
76,Dragon Wars: D-War,"$75,108,817","$10,977,721",14.6%,"$64,131,096",85.4%
77,The Kite Runner,"$75,011,029","$15,800,078",21.1%,"$59,210,951",78.9%
78,Perfect Stranger,"$73,534,117","$23,984,949",32.6%,"$49,549,168",67.4%
79,License to Wed,"$70,181,325","$43,799,818",62.4%,"$26,381,507",37.6%
80,3:10 to Yuma,"$70,016,220","$53,606,916",76.6%,"$16,409,304",23.4%
81,The Brave One,"$69,787,394","$36,793,804",52.7%,"$32,993,590",47.3%
82,Because I Said So,"$69,485,490","$42,674,040",61.4%,"$26,811,450",38.6%
83,Mr. Magorium's Wonder Emporium,"$69,474,661","$32,061,555",46.1%,"$37,413,106",53.9%
84,Dan in Real Life,"$68,471,669","$47,642,963",69.6%,"$20,828,706",30.4%
85,"Lust, Caution","$67,091,915","$4,604,982",6.9%,"$62,486,933",93.1%
86,August Rush,"$66,122,026","$31,664,162",47.9%,"$34,457,864",52.1%
87,Underdog,"$65,270,477","$43,760,605",67%,"$21,509,872",33%
88,28 Weeks Later,"$65,048,678","$28,638,916",44%,"$36,409,762",56%
89,Lions for Lambs,"$64,811,540","$15,002,854",23.1%,"$49,808,686",76.9%
90,The Reaping,"$62,771,059","$25,126,214",40%,"$37,644,845",60%
91,Good Luck Chuck,"$59,768,495","$35,017,297",58.6%,"$24,751,198",41.4%
92,Are We Done Yet?,"$58,388,068","$49,662,533",85.1%,"$8,725,535",14.9%
93,The Mist,"$57,470,220","$25,594,957",44.5%,"$31,875,263",55.5%
94,Smokin' Aces,"$57,232,879","$35,787,686",62.5%,"$21,445,193",37.5%
95,Into the Wild,"$56,674,477","$18,354,356",32.4%,"$38,320,121",67.6%
96,Eastern Promises,"$56,106,607","$17,266,000",30.8%,"$38,840,607",69.2%
97,Why Did I Get Married?,"$55,862,886","$55,204,525",98.8%,"$658,361",1.2%
98,We Own the Night,"$55,033,767","$28,563,179",51.9%,"$26,470,588",48.1%
99,The Messengers,"$55,010,659","$35,374,833",64.3%,"$19,635,826",35.7%
100,Sea Monsters: A Prehistoric Adventure,"$50,652,463","$23,746,066",46.9%,"$26,906,397",53.1%
101,This Christmas,"$49,778,552","$49,121,934",98.7%,"$656,618",1.3%
102,Mr. Brooks,"$48,443,734","$28,549,298",58.9%,"$19,894,436",41.1%
103,The Nanny Diaries,"$47,817,020","$25,930,652",54.2%,"$21,886,368",45.8%
104,Death at a Funeral,"$46,789,413","$8,580,428",18.3%,"$38,208,985",81.7%
105,Freedom Writers,"$43,095,175","$36,605,602",84.9%,"$6,489,573",15.1%
106,The Warlords,"$42,883,181","$129,078",0.3%,"$42,754,103",99.7%
107,Balls of Fury,"$41,739,111","$32,886,940",78.8%,"$8,852,171",21.2%
108,Breach,"$40,953,935","$33,231,264",81.1%,"$7,722,671",18.9%
109,War,"$40,481,352","$22,486,409",55.5%,"$17,994,943",44.5%
110,The Invasion,"$40,170,558","$15,074,191",37.5%,"$25,096,367",62.5%
111,Om Shanti Om,"$39,990,809","$3,597,372",9%,"$36,393,437",91%
112,Happily N'Ever After,"$38,085,778","$15,589,393",40.9%,"$22,496,385",59.1%
113,The Hills Have Eyes 2,"$37,697,773","$20,804,166",55.2%,"$16,893,607",44.8%
114,Becoming Jane,"$37,407,812","$18,670,946",49.9%,"$18,736,866",50.1%
115,Sicko,"$36,093,504","$24,540,079",68%,"$11,553,425",32%
116,Hostel: Part II,"$35,728,183","$17,609,452",49.3%,"$18,118,731",50.7%
117,Vacancy,"$35,442,935","$19,363,565",54.6%,"$16,079,370",45.4%
118,The Darjeeling Limited,"$35,307,949","$11,902,715",33.7%,"$23,405,234",66.3%
119,Sunshine,"$34,806,360","$3,675,753",10.6%,"$31,130,607",89.4%
120,Gone Baby Gone,"$34,612,443","$20,292,962",58.6%,"$14,319,481",41.4%
121,Mr. Woodcock,"$33,683,200","$25,799,486",76.6%,"$7,883,714",23.4%
122,"Run, Fat Boy, Run","$33,463,522","$6,003,262",17.9%,"$27,460,260",82.1%
123,Awake,"$32,730,062","$14,377,198",43.9%,"$18,352,864",56.1%
124,88 Minutes,"$32,593,385","$17,213,467",52.8%,"$15,379,918",47.2%
125,Alpha Dog,"$32,351,125","$15,309,602",47.3%,"$17,041,523",52.7%
126,Amazing Grace,"$32,120,360","$21,250,683",66.2%,"$10,869,677",33.8%
127,The Seeker: The Dark Is Rising,"$31,852,619","$8,794,452",27.6%,"$23,058,167",72.4%
128,Daddy's Little Girls,"$31,609,243","$31,366,978",99.2%,"$242,265",0.8%
129,Love in the Time of Cholera,"$31,575,877","$4,607,608",14.6%,"$26,968,269",85.4%
130,Pathfinder,"$30,984,583","$10,232,081",33%,"$20,752,502",67%
131,Nancy Drew,"$30,666,930","$25,612,520",83.5%,"$5,054,410",16.5%
132,The Great Debaters,"$30,236,407","$30,236,407",100%,-,-
133,In the Valley of Elah,"$29,541,790","$6,777,741",22.9%,"$22,764,049",77.1%
134,Across the Universe,"$29,367,143","$24,343,673",82.9%,"$5,023,470",17.1%
135,The Last Mimzy,"$27,308,918","$21,471,047",78.6%,"$5,837,871",21.4%
136,Shoot 'Em Up,"$27,122,238","$12,807,139",47.2%,"$14,315,099",52.8%
137,Rendition,"$27,066,382","$9,736,045",36%,"$17,330,337",64%
138,The Invisible,"$26,810,113","$20,578,909",76.8%,"$6,231,204",23.2%
139,Mongol: The Rise of Genghis Khan,"$26,527,510","$5,705,761",21.5%,"$20,821,749",78.5%
140,Bratz,"$26,013,153","$10,010,209",38.5%,"$16,002,944",61.5%
141,Grindhouse,"$25,422,088","$25,037,897",98.5%,"$384,191",1.5%
142,The Hitcher,"$25,399,945","$16,472,961",64.9%,"$8,926,984",35.1%
143,The Last Legion,"$25,303,038","$5,933,494",23.4%,"$19,369,544",76.6%
144,Before the Devil Knows You're Dead,"$25,037,657","$7,084,227",28.3%,"$17,953,430",71.7%
145,Georgia Rule,"$25,000,167","$19,103,072",76.4%,"$5,897,095",23.6%
146,Guru,"$24,108,727","$2,096,000",8.7%,"$22,012,727",91.3%
147,Partner,"$23,968,620","$1,062,840",4.4%,"$22,905,780",95.6%
148,Persepolis,"$22,783,978","$4,445,756",19.5%,"$18,338,222",80.5%
149,Cassandra's Dream,"$22,686,378","$973,018",4.3%,"$21,713,360",95.7%
150,Dead Silence,"$22,382,047","$16,809,076",75.1%,"$5,572,971",24.9%
151,Reign Over Me,"$22,242,388","$19,661,987",88.4%,"$2,580,401",11.6%
152,Waitress,"$22,240,529","$19,074,800",85.8%,"$3,165,729",14.2%
153,Reno 911!: Miami,"$22,021,262","$20,342,161",92.4%,"$1,679,101",7.6%
154,My Blueberry Nights,"$22,007,671","$867,275",3.9%,"$21,140,396",96.1%
155,Like Stars on Earth,"$21,897,373","$1,223,869",5.6%,"$20,673,504",94.4%
156,Chak de! India,"$21,505,244","$1,120,404",5.2%,"$20,384,840",94.8%
157,Penelope,"$21,156,270","$10,011,996",47.3%,"$11,144,274",52.7%
158,Once,"$20,936,722","$9,439,923",45.1%,"$11,496,799",54.9%
159,Walk Hard: The Dewey Cox Story,"$20,576,198","$18,317,151",89%,"$2,259,047",11%
160,The Namesake,"$20,354,321","$13,569,248",66.7%,"$6,785,073",33.3%
161,Evening,"$20,016,753","$12,492,481",62.4%,"$7,524,272",37.6%
162,The Diving Bell and the Butterfly,"$19,780,116","$6,003,227",30.3%,"$13,776,889",69.7%
163,2 Days in Paris,"$19,776,159","$4,433,994",22.4%,"$15,342,165",77.6%
164,Bhool Bhulaiyaa,"$19,073,095","$1,097,797",5.8%,"$17,975,298",94.2%
165,A Mighty Heart,"$19,008,745","$9,176,787",48.3%,"$9,831,958",51.7%
166,The Counterfeiters,"$18,814,713","$5,488,570",29.2%,"$13,326,143",70.8%
167,My Love,"$18,513,120","$885,574",4.8%,"$17,627,546",95.2%
168,Daddy Day Camp,"$18,197,398","$13,235,267",72.7%,"$4,962,131",27.3%
169,The Edge of Heaven,"$17,804,565","$742,349",4.2%,"$17,062,216",95.8%
170,In the Land of Women,"$17,562,071","$11,052,958",62.9%,"$6,509,113",37.1%
171,Firehouse Dog,"$17,384,424","$13,932,383",80.1%,"$3,452,041",19.9%
172,Death Sentence,"$16,974,459","$9,534,258",56.2%,"$7,440,201",43.8%
173,A Secret,"$16,494,522","$623,558",3.8%,"$15,870,964",96.2%
174,Evangelion: 1.0 You Are (Not) Alone,"$16,283,819","$107,797",0.7%,"$16,176,022",99.3%
175,Catch and Release,"$16,161,742","$15,539,051",96.1%,"$622,691",3.9%
176,The Nightmare Before Christmas 2008 3D Release,"$15,894,421","$14,486,897",91.1%,"$1,407,524",8.9%
177,Primeval,"$15,291,277","$10,597,734",69.3%,"$4,693,543",30.7%
178,Namastey London,"$15,273,747","$1,207,007",7.9%,"$14,066,740",92.1%
179,Ta Ra Rum Pum,"$15,242,548","$872,643",5.7%,"$14,369,905",94.3%
180,The Assassination of Jesse James by the Coward Robert Ford,"$15,001,776","$3,909,149",26.1%,"$11,092,627",73.9%
181,The Secret of the Grain,"$14,776,783","$86,356",0.6%,"$14,690,427",99.4%
182,Katyn,"$14,768,451","$118,095",0.8%,"$14,650,356",99.2%
183,Elite Squad,"$14,759,148","$8,744",<0.1%,"$14,750,404",99.9%
184,The Band's Visit,"$14,587,587","$3,054,457",20.9%,"$11,533,130",79.1%
185,Hot Rod,"$14,353,654","$13,938,332",97.1%,"$415,322",2.9%
186,Caramel,"$14,248,749","$1,055,580",7.4%,"$13,193,169",92.6%
187,Heyy Babyy,"$13,921,302","$1,443,521",10.4%,"$12,477,781",89.6%
188,Sydney White,"$13,620,075","$11,892,415",87.3%,"$1,727,660",12.7%
189,The Comebacks,"$13,539,154","$13,349,927",98.6%,"$189,227",1.4%
190,I Think I Love My Wife,"$13,369,768","$12,550,605",93.9%,"$819,163",6.1%
191,In the Name of the King: A Dungeon Siege Tale,"$13,097,915","$4,775,656",36.5%,"$8,322,259",63.5%
192,My Brother Is an Only Child,"$12,894,062","$255,620",2%,"$12,638,442",98%
193,A Tribute to Love,"$12,552,605","$1,852,050",14.8%,"$10,700,555",85.2%
194,Bella,"$12,083,296","$8,070,537",66.8%,"$4,012,759",33.2%
195,Jhoom Barabar Jhoom,"$11,905,018","$695,157",5.8%,"$11,209,861",94.2%
196,I'm Not There,"$11,664,116","$4,017,609",34.4%,"$7,646,507",65.6%
197,Wedding Daze,"$11,492,406",-,-,"$11,492,406",100%
198,Lars and the Real Girl,"$11,293,663","$5,972,884",52.9%,"$5,320,779",47.1%
199,Genghis Khan: To the Ends of the Earth and Sea,"$11,167,501","$3,892",<0.1%,"$11,163,609",100%
200,The Astronaut Farmer,"$11,130,889","$11,003,643",98.9%,"$127,246",1.1%
201,Dhamaal,"$11,077,541","$166,339",1.5%,"$10,911,202",98.5%
202,Captivity,"$10,921,200","$2,626,800",24.1%,"$8,294,400",75.9%
203,Black Snake Moan,"$10,907,485","$9,396,870",86.2%,"$1,510,615",13.8%
204,Molière,"$10,878,867","$635,733",5.8%,"$10,243,134",94.2%
205,The Savages,"$10,653,221","$6,623,082",62.2%,"$4,030,139",37.8%
206,Irina Palm,"$10,610,594","$44,383",0.4%,"$10,566,211",99.6%
207,Code Name: The Cleaner,"$10,337,477","$8,135,024",78.7%,"$2,202,453",21.3%
208,"4 Months, 3 Weeks and 2 Days","$10,174,839","$1,198,208",11.8%,"$8,976,631",88.2%
209,I Know Who Killed Me,"$9,669,758","$7,498,716",77.5%,"$2,171,042",22.5%
210,I Could Never Be Your Woman,"$9,576,495",-,-,"$9,576,495",100%
211,Journey of a Woman,"$9,354,562","$675,102",7.2%,"$8,679,460",92.8%
212,Martian Child,"$9,351,744","$7,500,310",80.2%,"$1,851,434",19.8%
213,Shootout at Lokhandwala,"$9,291,694","$289,232",3.1%,"$9,002,462",96.9%
214,Away from Her,"$9,194,283","$4,571,521",49.7%,"$4,622,762",50.3%
215,Cheeni Kum,"$9,178,465","$697,369",7.6%,"$8,481,096",92.4%
216,Delta Farce,"$8,729,473","$8,130,530",93.1%,"$598,943",6.9%
217,Eklavya: The Royal Guard,"$8,707,875","$1,290,212",14.8%,"$7,417,663",85.2%
218,The Condemned,"$8,642,858","$7,371,706",85.3%,"$1,271,152",14.7%
219,Things We Lost in the Fire,"$8,591,255","$3,287,315",38.3%,"$5,303,940",61.7%
220,A Girl Cut in Two,"$8,488,537","$409,658",4.8%,"$8,078,879",95.2%
221,Lucky You,"$8,461,686","$5,758,950",68.1%,"$2,702,736",31.9%
222,Bordertown,"$8,329,799",-,-,"$8,329,799",100%
223,Redline,"$8,267,379","$6,881,022",83.2%,"$1,386,357",16.8%
224,This Is England,"$8,176,544","$329,379",4%,"$7,847,165",96%
225,Control,"$8,159,508","$872,252",10.7%,"$7,287,256",89.3%
226,Bug,"$8,059,140","$7,025,810",87.2%,"$1,033,330",12.8%
227,Counter Investigation,"$8,029,345","$11,846",0.1%,"$8,017,499",99.9%
228,Silk,"$7,965,682","$1,103,075",13.8%,"$6,862,607",86.2%
229,El cantante,"$7,911,532","$7,556,712",95.5%,"$354,820",4.5%
230,Goal II: Living the Dream,"$7,864,905","$225,067",2.9%,"$7,639,838",97.1%
231,P2,"$7,766,240","$3,995,018",51.4%,"$3,771,222",48.6%
232,The Hunting Party,"$7,644,409","$969,869",12.7%,"$6,674,540",87.3%
233,12,"$7,537,453","$125,120",1.7%,"$7,412,333",98.3%
234,Cash,"$7,481,601",-,-,"$7,481,601",100%
235,Dhan Dhana Dhan Goal,"$7,415,972","$125,547",1.7%,"$7,290,425",98.3%
236,Rescue Dawn,"$7,177,143","$5,490,423",76.5%,"$1,686,720",23.5%
237,The Jane Austen Book Club,"$7,163,566","$3,575,227",49.9%,"$3,588,339",50.1%
238,The Flock,"$7,155,358",-,-,"$7,155,358",100%
239,Pride,"$7,094,650","$7,057,600",99.5%,"$37,050",0.5%
240,One Piece: Episode of Alabasta - The Desert Princess and the Pirates,"$7,090,891","$6,587",<0.1%,"$7,084,304",99.9%
241,Days and Clouds,"$6,966,224","$112,102",1.6%,"$6,854,122",98.4%
242,Ladrón que roba a ladrón,"$6,875,089","$4,011,254",58.3%,"$2,863,835",41.7%
243,Flawless,"$6,819,587","$1,200,234",17.6%,"$5,619,353",82.4%
244,Aaja Nachle,"$6,773,493","$484,108",7.1%,"$6,289,385",92.9%
245,Midnight Eagle,"$6,522,186","$7,116",0.1%,"$6,515,070",99.9%
246,Feel the Noise,"$6,451,106","$5,898,393",91.4%,"$552,713",8.6%
247,Goodbye Bafana,"$6,317,170",-,-,"$6,317,170",100%
248,Life in a Metro,"$6,316,418","$150,212",2.4%,"$6,166,206",97.6%
249,Blood and Chocolate,"$6,311,117","$3,526,847",55.9%,"$2,784,270",44.1%
250,Flash Point,"$6,177,725","$5,151",<0.1%,"$6,172,574",99.9%
251,The Perfect Holiday,"$5,812,781","$5,812,781",100%,-,-
252,Feast of Love,"$5,741,608","$3,511,074",61.2%,"$2,230,534",38.8%
253,Who's Your Caddy?,"$5,713,425","$5,713,425",100%,-,-
254,The Contract,"$5,549,200",-,-,"$5,549,200",100%
255,Aqua Teen Hunger Force Colon Movie Film for Theaters,"$5,520,368","$5,520,368",100%,-,-
256,The Lookout,"$5,371,181","$4,600,585",85.7%,"$770,596",14.3%
257,Whisper,"$5,285,197",-,-,"$5,285,197",100%
258,The Ex,"$5,178,640","$3,093,394",59.7%,"$2,085,246",40.3%
259,The Grocer's Son,"$5,095,496","$264,889",5.2%,"$4,830,607",94.8%
260,Shrooms,"$4,954,621","$2,863",<0.1%,"$4,951,758",99.9%
261,Black Sheep,"$4,947,717","$84,283",1.7%,"$4,863,434",98.3%
262,Sleuth,"$4,889,751","$342,895",7%,"$4,546,856",93%
263,Roman de gare,"$4,841,132","$1,852,764",38.3%,"$2,988,368",61.7%
264,Talk to Me,"$4,778,376","$4,533,261",94.9%,"$245,115",5.1%
265,Kickin' It Old Skool,"$4,692,108","$4,502,604",96%,"$189,504",4%
266,Rogue,"$4,631,926","$10,452",0.2%,"$4,621,474",99.8%
267,Paranoid Park,"$4,545,747","$486,767",10.7%,"$4,058,980",89.3%
268,Day Watch 2007 Re-release,"$4,506,717","$450,897",10%,"$4,055,820",90%
269,It's a Wonderful Life 2007 Re-release,"$4,163,338",-,-,"$4,163,338",100%
270,The Abandoned,"$4,153,578","$1,331,137",32%,"$2,822,441",68%
271,Gracie,"$3,826,568","$2,956,339",77.3%,"$870,229",22.7%
272,Brick Lane,"$3,794,592","$1,095,398",28.9%,"$2,699,194",71.1%
273,Nitro,"$3,780,889","$3,768,878",99.7%,"$12,011",0.3%
274,You Kill Me,"$3,748,295","$2,429,367",64.8%,"$1,318,928",35.2%
275,Ten Stories,"$3,526,678","$219,071",6.2%,"$3,307,607",93.8%
276,The Ultimate Gift,"$3,438,735","$3,438,735",100%,-,-
277,Days of Darkness,"$3,414,681","$1,491,525",43.7%,"$1,923,156",56.3%
278,Skinwalkers,"$3,269,736","$1,018,965",31.2%,"$2,250,771",68.8%
279,Peaceful Warrior 2007 Re-release,"$3,260,179","$2,893,666",88.8%,"$366,513",11.2%
280,Resurrecting the Champ,"$3,243,064","$3,172,573",97.8%,"$70,491",2.2%
281,Mother of Tears,"$3,119,957","$58,669",1.9%,"$3,061,288",98.1%
282,Illegal Tender,"$3,106,835","$3,106,835",100%,-,-
283,Provoked: A True Story,"$3,078,709","$761,740",24.7%,"$2,316,969",75.3%
284,The Witnesses,"$3,041,093","$78,440",2.6%,"$2,962,653",97.4%
285,Love Songs,"$2,966,934","$104,567",3.5%,"$2,862,367",96.5%
286,Shall We Kiss?,"$2,936,437","$535,499",18.2%,"$2,400,938",81.8%
287,Margot at the Wedding,"$2,900,156","$1,959,420",67.6%,"$940,736",32.4%
288,Rise: Blood Hunter,"$2,850,927","$114,306",4%,"$2,736,621",96%
289,"My Daughter, My Angel","$2,780,005","$2,779,545",100%,$460,<0.1%
290,When Did You Last See Your Father?,"$2,752,471","$1,077,273",39.1%,"$1,675,198",60.9%
291,Ben X,"$2,744,414","$1,601",<0.1%,"$2,742,813",99.9%
292,XXY,"$2,728,869","$48,334",1.8%,"$2,680,535",98.2%
293,Sukiyaki Western Django,"$2,725,258","$50,659",1.9%,"$2,674,599",98.1%
294,Nishabd,"$2,655,669","$73,819",2.8%,"$2,581,850",97.2%
295,Youth Without Youth,"$2,624,759","$244,397",9.3%,"$2,380,362",90.7%
296,The Air I Breathe,"$2,597,648","$25,775",1%,"$2,571,873",99%
297,City of Men,"$2,589,732","$325,131",12.6%,"$2,264,601",87.4%
298,The Polar Express 2007 IMAX Release,"$2,574,903","$2,483,757",96.5%,"$91,146",3.5%
299,Tuya's Marriage,"$2,476,766","$88,148",3.6%,"$2,388,618",96.4%
300,The Marsh,"$2,408,452",$336,<0.1%,"$2,408,116",100%
301,Cashback,"$2,294,291","$25,343",1.1%,"$2,268,948",98.9%
302,"Romulus, My Father","$2,234,889","$4,283",0.2%,"$2,230,606",99.8%
303,Blade Runner The Final Cut (2007 re-release),"$2,217,175","$1,548,502",69.8%,"$668,673",30.2%
304,In the Shadow of the Moon,"$2,161,369","$1,134,358",52.5%,"$1,027,011",47.5%
305,Mad Detective,"$2,160,790","$4,629",0.2%,"$2,156,161",99.8%
306,Hallam Foe,"$2,149,799","$60,641",2.8%,"$2,089,158",97.2%
